ID,HashTags,TweetText,Output,mentions_other,URLs,User
1,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,Slanderpanic
2,RoeVWade,"The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ","The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ",;;;,,xojennflores
3,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,loveletters2007
4,,The same lawmakers who say science is their reason for rolling back abortion rights refuse to make laws based on science that shows easy access to guns has given America a gun homicide rate 25 times higher than any peer nation. #RoeVWade,The same lawmakers who say science is their reason for rolling back abortion rights refuse to make laws based on science that shows easy access to guns has given America a gun homicide rate 25 times higher than any peer nation. #RoeVWade,"abortion rights, America",,lindytx21
5,"WednesdayWisdom, RoeVWade, YouKnowMe, HitMeWithYourBestPun","Do you need technology logo?
Gase #WednesdayWisdom #RoeVWade Mike Maccagnan #YouKnowMe Morty #HitMeWithYourBestPun #WednesdayWisdom Special Olympics #Europeennes2019 #SDGs Trump Jimin #graaja #psvher Black Mirror Jeremy Kyle #SDGs Britain America Iran
 ","Do you need technology logo?
Gase #WednesdayWisdom #RoeVWade Mike Maccagnan #YouKnowMe Morty #HitMeWithYourBestPun #WednesdayWisdom Special Olympics #Europeennes2019 #SDGs Trump Jimin #graaja #psvher Black Mirror Jeremy Kyle #SDGs Britain America Iran
 ",";Special Olympics,Trump,Black Mirror,Jeremy Kyle,Britain,America,Iran",https://twitter.com/i/web/status/1128732810972295168,Susana44494203
6,AlabamaAbortionBan,Check out my latest piece about the #AlabamaAbortionBan that explains the GOP strategy behind this law and the recent Heartbeat Bills. #RoeVWade #BoycottAlabama #WomensRightsAreHumanRights,Check out my latest piece about the #AlabamaAbortionBan that explains the GOP strategy behind this law and the recent Heartbeat Bills. #RoeVWade #BoycottAlabama #WomensRightsAreHumanRights,"GOP,Heartbeat Bills;",,axdentlactivist
7,,"""Alabama’s new law mandating an almost blanket ban on abortion, the strictest in the United States, was passed by this group of exclusively white, male, (and Republican) politicians""

#TrustWomen #RoeVWade #BoycottAlabama #prochoice #Fascism  #SRHR 

","""Alabama’s new law mandating an almost blanket ban on abortion, the strictest in the United States, was passed by this group of exclusively white, male, (and Republican) politicians""

#TrustWomen #RoeVWade #BoycottAlabama #prochoice #Fascism  #SRHR 

","Alabama,abortion,United States,Republican;",,chareesi
8,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,JackieR0121
9,,Alabama has the right idea! We must BAN ABORTION and stop MURDERING BABIES so they can grow up and get shot and killed in the classroom like NORMAL children! #RoeVWade #MAGA #Alabama,Alabama has the right idea! We must BAN ABORTION and stop MURDERING BABIES so they can grow up and get shot and killed in the classroom like NORMAL children! #RoeVWade #MAGA #Alabama,Alabama;ABORTION;,,vicvega422
10,RoeVWade,"Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan","Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan",Republican Party;,,NoraLov50
11,,"It's time to remove Abortion from the whispers &amp; shame. 1 in 4 U.S. women will have an Abortion. I'm one of those women. I was married for 6 yrs &amp; using birth control. I am not ashamed. 6 yrs later I chose to become a mother to my daughter. Protect #RoevWade 
#NoShame","It's time to remove Abortion from the whispers &amp; shame. 1 in 4 U.S. women will have an Abortion. I'm one of those women. I was married for 6 yrs &amp; using birth control. I am not ashamed. 6 yrs later I chose to become a mother to my daughter. Protect #RoevWade 
#NoShame","Abortion,U.S,Abortion;;",,rmccown
12,,"I used to be ok with Abortion, now I would love for it to be banned. Live with your decisions. I would love to see a future world were civil action were allowed to be filed by father's who never got to see there kids grow up bc the woman killed it out of spite, like so many do. ","I used to be ok with Abortion, now I would love for it to be banned. Live with your decisions. I would love to see a future world were civil action were allowed to be filed by father's who never got to see there kids grow up bc the woman killed it out of spite, like so many do. ",Abortion;;,,CanadianPatri18
13,,"please take two minutes to read this, it’s incredibly important and pertinent to what’s happening in several states. the weight of the legislation that’s being passed needs to be realized. #RoeVWade ","please take two minutes to read this, it’s incredibly important and pertinent to what’s happening in several states. the weight of the legislation that’s being passed needs to be realized. #RoeVWade ",;;;,,jewels_rad
14,,"I used to be ok with Abortion, now I would love for it to be banned. Live with your decisions. I would love to see a future world were civil action were allowed to be filed by father's who never got to see there kids grow up bc the woman killed it out of spite, like so many do. ","I used to be ok with Abortion, now I would love for it to be banned. Live with your decisions. I would love to see a future world were civil action were allowed to be filed by father's who never got to see there kids grow up bc the woman killed it out of spite, like so many do. ",Abortion;;,,RobertBradleyJ2
15,"fiverr, AlabamaAbortionBan","Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","PSD,HTML;;Jets Gase,Black Mirror, Morty",https://twitter.com/i/web/status/1128732821684572160,shafiqhammad7
16,,“Step 1 was to get Brett Kavanaugh appointed to the Supreme Court. Step 2 was to enact multiple laws in multiple states so that they could work their way up the appeals process. Step 3 is Kavanaugh paying back all of the favors it took to get him appointed.”,“Step 1 was to get Brett Kavanaugh appointed to the Supreme Court. Step 2 was to enact multiple laws in multiple states so that they could work their way up the appeals process. Step 3 is Kavanaugh paying back all of the favors it took to get him appointed.”,"Brett Kavanaugh,Supreme Court;;Kavanaugh",,BKlimik
17,,Everyone should be in favor of choice and everyone should be in favor of life. But when a choice takes a life everyone on Earth knows which of the two is most important to preserve. #ProLife #LoveWins #AlabamaAbortionBan #RoeVWade #WomensRightsAreHumanRights #WednesdayWisdom,Everyone should be in favor of choice and everyone should be in favor of life. But when a choice takes a life everyone on Earth knows which of the two is most important to preserve. #ProLife #LoveWins #AlabamaAbortionBan #RoeVWade #WomensRightsAreHumanRights #WednesdayWisdom,;Earth;,https://twitter.com/i/web/status/1128732825799221248,RyanMoore
