0,RussiaGate,"REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'","[u'FBI//B-ENTITY', u'Trump//B-ENTITY', u'Aide//I-ENTITY', u'The//B-ENTITY', u'Russian//I-ENTITY', u'Government//I-ENTITY']","FBI, FISA, Trump, Russian Government",JanKimbrough,"fbi,trump aide,the russian government","['trump aide', 'fbi', 'russian government']","fbi,trump"
1,,BUSTED....,[],,zi_cam,,[],
2,,"Carter Page is trending but 3 weeks ago there were no FISA warrants on team Trump.

I love how liberals have a 36 hour memory","[u'Carter//B-ENTITY', u'Page//I-ENTITY']","Carter Page, FISA, Trump; liberals",sicsemp4ever,"carter page,trump","['fisa', 'carter page']",carter page
3,,Looks like it might be time for some more tomahawks…,[],tomahawks,raponikoff,,[],
4,,Sean Spicer on Carter Page:,"[u'Sean//B-ENTITY', u'Spicer//I-ENTITY', u'Carter//B-ENTITY', u'Page//I-ENTITY']","Sean Spicer, Carter Page",MsEntropy,"sean spicer,carter page",['sean spicer'],"sean spicer,carter page:"
5,FISA,"""Carter Page""  @FBI @AdamSchiffCA @MarkWarner @NancyPelosi @HillaryClinton @MSNBC @maddow @washingtonpost","[u'Carter//B-ENTITY', u'Page//I-ENTITY']",Carter Page,Class_of_78,carter page,['fbi'],
6,,"I get stuck on things. Tonight's special, Session brought in Carter Page, a foreign agent:","[u'Carter//B-ENTITY', u'Page//I-ENTITY']",";Session, Carter Page",cjpfeiff,carter page,['carter page'],
7,,I guess this explains the interview he gave after Flynn resigned where he blathered incoherently when asked about his contact with Russians,"[u'Flynn//B-ENTITY', u'Russians//B-ENTITY']","Flynn,Russians",pignponyrfriend,"flynn,russians",['flynn'],flynn
8,,May the media never lose focus,[],,itsShonny,,[],
9,,"@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right!
",[],,GilesBgiles1974,,[],
10,,Well well well. Guess that Susan Rice nonsense can go away now. Still about the leak problem?,"[u'Susan//B-ENTITY', u'Rice//I-ENTITY']",;Susan Rice;,em_div,susan rice,['susan rice'],susan rice
11,,"@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page 
","[u'Trump//B-ENTITY', u'Carter//B-ENTITY', u'Page//I-ENTITY']","Trump, Carter Page",Bennythesnitch,"trump,carter page",['carter page'],carter page
12,,No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.  He's one of the most complicit.,"[u'Carter//B-ENTITY', u'Page//I-ENTITY', u'Trump//B-ENTITY', u'Trump//B-ENTITY', u'Trump//B-ENTITY', u'Tower.He//I-ENTITY']","Carter Page,Trump,Trump,Trump Tower;",mallsta,"carter page,trump,trump,trump tower","['the trump advisor', 'trump tower', 'carter page']","carter page,trump,trump,trump"
13,,@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack!,[u'Steele//B-ENTITY'],"Steele,Savior",EricJGilbert,steele,['savior'],steele the savior
14,,"@chrislhayes Please ask Trump, why he chose Carter Page.  Who told him to hire him?","[u'Trump//B-ENTITY', u'Carter//B-ENTITY', u'Page//I-ENTITY']","Trump,Carter Page;",berserkbd,"trump,carter page",['carter page'],carter
15,,Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill,"[u'FBI//B-ENTITY', u'Carter//B-ENTITY', u'Page//I-ENTITY']","FBI,FISA, Carter Page;",ngunn7,"fbi,carter page","['aide', 'carter page', 'fbi']","fbi,fisa"
16,deray,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey,"[u'FBI//B-ENTITY', u'Trump//B-ENTITY', u'Carter//B-ENTITY', u'Page//I-ENTITY']","FBI,FISA,Trump,Carter Page",GaryKGreen,"fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump,carter page"
17,,Very well explained take on Carter/ Russia/ FISA/ Trump sitch.,"[u'Carter///B-ENTITY', u'Russia///I-ENTITY', u'FISA///I-ENTITY', u'Trump//I-ENTITY']","Carter,Russia,FISA,Trump",jannypie, carter russia fisa trump,['russia'],
18,,Maxine Waters. Mam. Esq. Keep On.,"[u'Maxine//B-ENTITY', u'Waters//I-ENTITY']",Maxine Waters;;;;,thecircledancer,maxine waters,['maxine waters'],
19,trumprussia,"A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia
","[u'FBI//B-ENTITY', u'Carter//B-ENTITY', u'Page//I-ENTITY', u'Russia//B-ENTITY']","FBI,Carter Page,Russia",funder,"fbi,carter page,russia","['russia', 'carter page', 'fbi']","fbi,carter page,russia"
20,,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance,"[u'FBI//B-ENTITY', u'Trump//B-ENTITY', u'Carter//B-ENTITY', u'Page//I-ENTITY', u'The//B-ENTITY', u'Washington//I-ENTITY', u'Post//I-ENTITY']","FBI,FISA,Trump,Carter Page, Washington Post",LSURay,"fbi,trump,carter page,the washington post","['adviser', 'the washington post', 'the washington post', 'fbi', 'carter page']","fbi,fisa,trump,washington post"
21,,"""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page""","[u'Sean//B-ENTITY', u'Carter//B-ENTITY', u'Page//I-ENTITY']","Sean,Hocaust Centers,Carter Page",Diane_Warren,"sean,carter page",['carter page'],"hocaust centers,carter"
22,,Great,[],,CaronScott5,,[],
23,,"Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant. Buh bye, Carter.","[u'Chris//B-ENTITY', u'Hayes//I-ENTITY', u'Carter//B-ENTITY', u'page//I-ENTITY', u'Carter//B-ENTITY']","Chris Hayes,Carter Page,FBI,FISA;Carter",TrumpHaterShirt,"chris hayes,carter page,carter","['carter page', 'fbi', 'chris hayes']","chris hayes, carter,fbi"
