ID	#ofRT	HashTags	TweetId	Date	TweetText	Output	URLs	User	Numbers
20	50	WhitePeople	8.63591815051694E+017	2017-05-13 23:45:06	"Which group is the most oppressed?

"			MWMWWWWWWWWWMWM	2135
150	65	WhitePeople	8.63591923574911E+017	2017-05-14 00:15:19	"Is there such thing as white privilege?

"			trumpocrat	2132
1674	0	WhitePeople	8.6359322103672E+017	2017-05-14 03:14:03	"The Govt census now considers Hispanics white.
What is all of this fuss?
  "			RayKoagel	2125
139	70	WhitePeople	8.63591910287577E+017	2017-05-14 02:33:36	 is trending for everyone to hate on Whites and If your a white male who's proud of his heritage you're a racist fucking NAZI	NAZI		RedPilled88	2122
1571	1		8.63593142745842E+017	2017-05-14 02:50:24	"Wait, what? This makes no sense. How can a group of people not have a ""culture""? Everyone has culture. "			word_in_edgewis	2118
217	154	WhitePeople	8.6359197860019E+017	2017-05-14 01:54:12	"When  set their minds towards a goal there is nothing they cannot accomplish.
Be proud of your heritage… "			NathanielGSmith	2107
260	4	WhitePeople	8.63592014025183E+017	2017-05-14 02:37:06	" Don't Lose Your Head
Children as young as five turned into executioners   via… "		http://dailym.ai/2rbZcdu	58Nodoubt	2096
32	829	WhitePeople	8.63591821984662E+017	2017-05-13 23:05:34	Without , blacks would still be in slavery. My ancestors fought and died to end it. Where are my repara… 			hrt2know	2091
1268	141		8.63592887056978E+017	2017-05-14 00:56:20	No society ever thrived because it had a large and growing class of parasites living off those who produce. ~Thomas… 			dianedavis8180	2089
1220	1		8.63592839686402E+017	2017-05-14 01:32:03	"Villain to the left ✔
Developed the most successful tolerant societies in history ✔
Now let leftists try to destroy them✔
 
"			SF_ProudBoys	2084
1209	2	WhitePeople	8.63592832434528E+017	2017-05-14 03:07:47	I'm an anti-racist so that means I hate all 			KurtPzrLehr	2080
1741	7		8.63593282357613E+017	2017-05-13 23:33:18	tariq na-sherlock holmes at it again 		https://twitter.com/tariqnasheed/status/863536636059045888	_TheRevelator	2077
411	105	whitepeople	8.6359213425077E+017	2017-05-13 23:13:33	"Take a look at Trump supporters on the  hashtag - totally ""not-racist"" "	Trump		fancynancysays	2076
252	1	WhitePeople, WhiteHistoryMonth	8.63592010401423E+017	2017-05-14 03:06:38	@BancoRana @Rambobiggs  need TRUE Equality 			Walkingstickm2n	2075
312	0	whitepeople	8.63592043901211E+017	2017-05-14 03:09:22	Yikes  is full of some serious, top notch shit			posteverythinga	2068
26	23	WhitePeople	8.63591819870744E+017	2017-05-14 02:46:38	Not really sure why  would be trending. Sad to see many fellow liberals are attacking my skin color while republicans defend it.			ktd101551	2067
