0,RussiaGate,"REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'","FBI,Trump Aide,The Russian Government","FBI, FISA, Trump, Russian Government",JanKimbrough,"fbi,trump aide,the russian government","['trump aide', 'fbi', 'russian government']","fbi,trump"
1,nan,BUSTED....,,nan,zi_cam,nan,[],nan
2,nan,"Carter Page is trending but 3 weeks ago there were no FISA warrants on team Trump.

I love how liberals have a 36 hour memory",Carter Page,"Carter Page, FISA, Trump; liberals",sicsemp4ever,"carter page,trump","['fisa', 'carter page']",carter page
3,nan,Looks like it might be time for some more tomahawks…,,tomahawks,raponikoff,nan,[],nan
4,nan,Sean Spicer on Carter Page:,"Sean Spicer,Carter Page","Sean Spicer, Carter Page",MsEntropy,"sean spicer,carter page",['sean spicer'],"sean spicer,carter page:"
5,FISA,"""Carter Page""  @FBI @AdamSchiffCA @MarkWarner @NancyPelosi @HillaryClinton @MSNBC @maddow @washingtonpost",Carter Page,Carter Page,Class_of_78,carter page,['fbi'],nan
6,nan,"I get stuck on things. Tonight's special, Session brought in Carter Page, a foreign agent:",Carter Page,";Session, Carter Page",cjpfeiff,carter page,['carter page'],nan
7,nan,I guess this explains the interview he gave after Flynn resigned where he blathered incoherently when asked about his contact with Russians,"Flynn,Russians","Flynn,Russians",pignponyrfriend,"flynn,russians",['flynn'],flynn
8,nan,May the media never lose focus,,nan,itsShonny,nan,[],nan
9,nan,"@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right!
",,nan,GilesBgiles1974,nan,[],nan
10,nan,Well well well. Guess that Susan Rice nonsense can go away now. Still about the leak problem?,Susan Rice,;Susan Rice;,em_div,susan rice,['susan rice'],susan rice
11,nan,"@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page 
","Trump,Carter Page","Trump, Carter Page",Bennythesnitch,"trump,carter page",['carter page'],carter page
12,nan,No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower.  He's one of the most complicit.,"Carter Page,Trump,Trump,Trump Tower.He","Carter Page,Trump,Trump,Trump Tower;",mallsta,"carter page,trump,trump,trump tower","['the trump advisor', 'trump tower', 'carter page']","carter page,trump,trump,trump"
13,nan,@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack!,Steele,"Steele,Savior",EricJGilbert,steele,['savior'],steele the savior
14,nan,"@chrislhayes Please ask Trump, why he chose Carter Page.  Who told him to hire him?","Trump,Carter Page","Trump,Carter Page;",berserkbd,"trump,carter page",['carter page'],carter
15,nan,Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill,"FBI,Carter Page","FBI,FISA, Carter Page;",ngunn7,"fbi,carter page","['aide', 'carter page', 'fbi']","fbi,fisa"
16,deray,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey,"FBI,Trump,Carter Page","FBI,FISA,Trump,Carter Page",GaryKGreen,"fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump,carter page"
17,nan,Very well explained take on Carter/ Russia/ FISA/ Trump sitch., Carter Russia FISA Trump,"Carter,Russia,FISA,Trump",jannypie, carter russia fisa trump,['russia'],nan
18,nan,Maxine Waters. Mam. Esq. Keep On.,Maxine Waters,Maxine Waters;;;;,thecircledancer,maxine waters,['maxine waters'],nan
19,trumprussia,"A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia
","FBI,Carter Page,Russia","FBI,Carter Page,Russia",funder,"fbi,carter page,russia","['russia', 'carter page', 'fbi']","fbi,carter page,russia"
20,nan,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance,"FBI,Trump,Carter Page,The Washington Post","FBI,FISA,Trump,Carter Page, Washington Post",LSURay,"fbi,trump,carter page,the washington post","['adviser', 'the washington post', 'the washington post', 'fbi', 'carter page']","fbi,fisa,trump,washington post"
21,nan,"""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page""","Sean,Carter Page","Sean,Hocaust Centers,Carter Page",Diane_Warren,"sean,carter page",['carter page'],"hocaust centers,carter"
22,nan,Great,,nan,CaronScott5,nan,[],nan
23,nan,"Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant. Buh bye, Carter.","Chris Hayes,Carter page,Carter","Chris Hayes,Carter Page,FBI,FISA;Carter",TrumpHaterShirt,"chris hayes,carter page,carter","['carter page', 'fbi', 'chris hayes']","chris hayes, carter,fbi"
24,nan,FBI obtained FISA warrant to monitor former Trump adviser Carter Page.,"FBI,Trump,Carter Page","FBI,FISA,Trump,Carter Page",christineltroch,"fbi,trump,carter page","['adviser', 'carter page', 'fbi']","fbi,fisa,trump,carter page."
25,nan,This is huge. Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates,,";FISA,US",racheline_m,nan,['us'],"fisa,us"
26,nan,Umm. Should we tell him he's delusional?,,;,JetlifeMegs,nan,[],nan
27,hardball,"Sean Spicer mis-spoke, Libs loved it, yet forget the DOJ still worked all day on indictments
 Carter Page","Sean Spicer,Libs,indictmentsCarter Page","sean spicer,DOJ; Carter Page",DCjusticeseeker,"sean spicer,libs,carter page","['doj', 'carter page', 'sean spicer']","sean spicer,doj,carter page"
28,nan,@mcspocky Looks like Carter Page will be one of the first dominoes to fall. The Syria strike was a distraction away from . Stay focused,"Carter Page,Syria",Carter Page;Syria strike;,JrgLaw,"carter page,syria","['carter page', 'syria']","carter page,syria"
29,nan,FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story,"Carter Page,Russia","FBI,FISA,Carter Page,Russia",blazinbabs67,"carter page,russia","['russia', 'fbi', 'carter page']","fbi,fisa,carter page,russia"
30,_flanders,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey,"FBI,Trump,Carter Page","FBI,FISA,Trump,Carter Page",Sparblack1213,"fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump"
31,nan,@seanhannity what about this spy...,,nan,pigs_wing,nan,['this spy'],nan
32,nan,Oh you don't say?,,nan,DixiDoodle,nan,[],nan
33,nan,@FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016. 'Only  American directly targeted with FISA warrant' by Dems &amp; Obama!,"FBI,Carter Page,FISA,Dems &amp; Obama","FBI,Trump,Carter Page; American,FISA,Dems,Obama",glennyork,"fbi,carter page,fisa,dems,obama","['carter page', 'fbi']","fbi,trump"
34,nan,carter page you dumbass. c'mon carter. get a clue carter page,"carter page,carter page",Carter Page;carter;carter page,LydiaBurrell,"carter page,carter,carter page","['carter page', 'carter page']",nan
35,nan,Well at least this takes the heat off @PressSec,,nan,LisaBednarski,nan,[],nan
36,nan,But Carter Page was Manafort's biz partner so he could have been caught in the surveillance,Carter Page,"Carter Page,Manafort",omyword,carter page,['carter page'],carter page
37,nan,Most delicious part of the WaPo Carter Page story.,Carter Page,"WaPo,Carter Page",HaroldItz,carter page,[],wapo
38,nan,FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post,"FBI,Trump,Carter Page,The Washington Post","FBI,FISA,Trump,Carter Page,Washington Post",RadioChio,"fbi,trump,carter page,the washington post","['adviser', 'the washington post', 'the washington post', 'fbi', 'carter page']","fbi,fisa,trump,washington post"
39,inners,"So what will be the fate of Carter Page? Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window?",Carter Page,Carter Page;,MeLoseBrainUhOh,carter page,"['carter page', 'he']",carter
40,TrumpRussia,We now return to or regularly scheduled program.,,nan,RyGil01,nan,[],nan
41,nan,"Drips become waterfall, part I.",,nan,charnesshartman,nan,[],nan
42,nan,and again a bang up job by jim comey letting the public know who was under investigation last summer,jim,jim comey,marcushjohnson,jim,[],nan
43,"TrumpRussia, TheResistance","@ funder  
",,nan,NoAltFacts1984,nan,[],nan
44,sarahsettgo,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey,"FBI,Trump,Carter Page","FBI,FISA,Trump,Carter Page;",StonZMGMT,"fbi,trump,carter page","['fbi', 'trump adviser', 'carter page']","fbi,fisa,trump,carter"
45,nan,"Back on the front page where it belongs. It should only be a few minutes before the next crazy diversion.

 
",,;,ZazuRules,nan,[],nan
46,thingsweheart,FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey,"FBI,Trump,Carter Page","FBI,FISA,Trump,Carter Page;",DecentFida,"fbi,trump,carter page","['fbi', 'trump adviser', 'carter page']","fbi,fisa,trump,carter"
47,nan,GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks?,"DEM Sorosian,Carter Page,George","GOP,DEM,Sorosian,Carter Page,George,healthcare",tiwhitter,"dem sorosian,carter page,george","['carter page', 'healthcare', 'gop']","gop,george"
48,nan,Ahh... hello?!,,;;,pammy_facepaint,nan,[],nan
49,nan,The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties,"FBI,Trump,Carter Page,Russia","FBI,FISA, Trump,Carter Page,Russia",kwanzer,"fbi,trump,carter page,russia","['russia', 'fbi', 'carter page', 'adviser']","fbi,fisa,trump,carter page,russia"
50,nan,"Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way.","Carter Page,FBI,King","Carter Page,FBI,JD,FBI,Dr.King;",Aarapparent,"carter page,fbi,king","['carter page', 'fbi', 'fbi', 'king']","carter page,fbi"
51,nan,FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics,"FBI,Trump,Carter Page","FBI,FISA,Trump,Carter Page",SubPolitics,"fbi,trump,carter page","['fbi', 'carter page', 'adviser']","fbi,fisa,trump"
52,nan,A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops.,US national,"FISA, US",BrianNormoyle,us national,['us'],us
53,nan,@rideatdawn Nah... hack dossier damn it!,,;,EricJGilbert,nan,[],nan
54,nan,This Breitbart guy.,,Breitbart,snottypants,nan,[],breitbart
55,nan,"If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw? Rep Schiff do your thing","Nunes,Carter Page,White House","Nunes,FISA,Carter Page,White House;Rep Schiff",spokanetom,"nunes,carter page,white house","['carter page','white house']","nunes,carter page,schiff"
56,nan,@united just gave lifetime premier status to @PressSec and Carter Page.,Carter Page,Carter Page,BrianWithAnE,carter page,['carter page'],carter page.
57,nan,FBI obtained FISA warrant to monitor former Trump adviser Carter Page,"FBI,Trump,Carter Page","FBI,FISA,Trump,Carter Page",ele_wolfe,"fbi,trump,carter page","['fbi', 'carter page', 'adviser']","fbi,fisa,trump,carter page"
58,nan,"But the problem is the leaks, right 45?",,nan,mdh9876,nan,[],nan
59,nan,@RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence. Just BS conjecture. Is carter page being charged? No.,carter page,FBI;;Carter Page;,Inglorious123,carter page,"['carter page', 'fbi']",fbi
60,"TrumpRussia, LoserPOTUS","The walls inch ever closer. Hang in there, folks. Stay focused on  and  will be gone soon.",,;;,BillSchultzeJr,nan,[],nan
61,"spicer, SyriaStrikes, TrumpRussiaCollusion",Enough of  and  let's get back to the basics,,nan,RobertDriemeyer,nan,[],nan
62,nan,"""Carter Page""",Carter Page,Carter Page,justsickoflies,carter page,[],nan
63,nan,Comrade Comey did as his Puppet Master ordered.,,"Comrade Comey,Puppet Master",truth_trumpet,nan,['comey'],comey
